Year,Jan_Value,Feb_Value,Mar_Value,Apr_Value,May_Value,Jun_Value,Jul_Value,Aug_Value,Sep_Value,Oct_Value,Nov_Value,Dec_Value,Jan_Anomaly,Feb_Anomaly,Mar_Anomaly,Apr_Anomaly,May_Anomaly,Jun_Anomaly,Jul_Anomaly,Aug_Anomaly,Sep_Anomaly,Oct_Anomaly,Nov_Anomaly,Dec_Anomaly,Jan_Mean,Feb_Mean,Mar_Mean,Apr_Mean,May_Mean,Jun_Mean,Jul_Mean,Aug_Mean,Sep_Mean,Oct_Mean,Nov_Mean,Dec_Mean
1979,20.81,19.32,20.34,22.94,24.69,26.72,26.83,25.74,25.25,26.57,26.28,22.58,1.79,1.37,1.23,1.67,1.47,1.96,2.01,1.47,1.05,0.85,0.27,-0.23,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1980,19.42,18.78,19.33,20.83,22.65,24.69,25.66,25.79,26.49,27.75,27.51,23.75,0.4,0.83,0.22,-0.44,-0.57,-0.07,0.84,1.52,2.29,2.03,1.5,0.94,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1981,19.32,18.47,19.02,20.85,23.15,25.54,26.31,25.58,25.74,27.15,27.04,24.23,0.3,0.52,-0.09,-0.42,-0.07,0.78,1.49,1.31,1.54,1.43,1.03,1.42,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1982,20.44,19.1,20.33,23.19,24.73,25.9,26.24,25.93,25.65,27.21,27.17,22.86,1.42,1.15,1.22,1.92,1.51,1.14,1.42,1.66,1.45,1.49,1.16,0.05,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1983,19.71,19.08,20.11,21.64,23.02,24.94,26.04,25.44,25.98,27.25,27.47,23.69,0.69,1.13,1,0.37,-0.2,0.18,1.22,1.17,1.78,1.53,1.46,0.88,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1984,19.25,17.98,19.19,21.43,23.33,25.38,26.38,25.7,24.98,26.13,26.97,23.46,0.23,0.03,0.08,0.16,0.11,0.62,1.56,1.43,0.78,0.41,0.96,0.65,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1985,19.18,18.31,19.61,21.85,24.22,25.65,25.46,25.03,25.4,26.75,27.16,24.4,0.16,0.36,0.5,0.58,1,0.89,0.64,0.76,1.2,1.03,1.15,1.59,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1986,20.31,18.97,19.61,21.45,22.68,24.67,25.47,24.98,25.09,26.66,26.46,22.87,1.29,1.02,0.5,0.18,-0.54,-0.09,0.65,0.71,0.89,0.94,0.45,0.06,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1987,20.1,19.3,19.93,22.01,23.43,25.17,26.08,25.23,25.53,26.72,26.8,23.1,1.08,1.35,0.82,0.74,0.21,0.41,1.26,0.96,1.33,1,0.79,0.31,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1988,19.8,18.47,19.93,21.41,23.16,25.03,25.56,25.45,25.68,27.49,27.48,24.69,0.31,0.52,0.82,0.14,-0.06,0.27,0.74,1.18,1.48,1.77,1.47,1.88,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
